"hri_category","n_cells","mean_hri","sd_hri","mean_uncertainty"
"Very Low",29,0.0872234562846245,0.0495962286761593,8.23304599750272
"Low",29,0.230723056928248,0.0394212048582093,9.62990400219061
"Medium",29,0.378425871262274,0.0447496062011971,3.87056744743981
"High",29,0.495932811242439,0.033310953097196,3.33901670608997
"Very High",29,0.685883891366093,0.126444252219889,5.49778923766422
