"dominant_cluster","hri_category","count","prop"
"1","Very Low",7,0.35
"1","Low",7,0.35
"1","Medium",5,0.25
"1","High",1,0.05
"2","Very Low",4,0.121212121212121
"2","Low",8,0.242424242424242
"2","Medium",7,0.212121212121212
"2","High",3,0.0909090909090909
"2","Very High",11,0.333333333333333
"3","Very Low",5,0.0980392156862745
"3","Low",6,0.117647058823529
"3","Medium",11,0.215686274509804
"3","High",23,0.450980392156863
"3","Very High",6,0.117647058823529
