"dominant_cluster","n","hazard","exposure","vulnerability","HxE","HRI_no_vuln","HRI_full"
"1",37,0.498,0.541,0.2,0.292,0.315,0.441
"2",14,0.404,0.533,0.148,0.237,0.272,0.339
"3",42,0.416,0.598,0.123,0.263,0.299,0.361
