"Class","Precision","Recall","F1"
"1",0.851063829787234,0.885608856088561,0.867992766726944
"2",0.690721649484536,0.73224043715847,0.710875331564987
"3",0.681818181818182,0.483870967741935,0.566037735849057
"4",0.736842105263158,0.84,0.785046728971963
