"Ii","E.Ii","Var.Ii","Z.Ii","Pr(z != E(Ii))"
-0.644057138559279,-0.0325131056363387,3.49492624481909,-0.327121226154522,0.743576198069709
-4.16898374803261,-0.290605714201881,30.429174718246,-0.703080497721347,0.482005585119539
0.711759257399019,-0.266563037509172,27.1355934817297,0.187807221895212,0.851027774255685
1.70604333925541,-0.0466329137651205,4.86919446111666,0.794279114188284,0.427032960140981
0.346270810914742,-0.0101240821686479,1.06008956050888,0.346146698228773,0.729232469989455
3.38531356808734,-0.121030580290723,13.0974370660587,0.968860788906482,0.332614651677452
-4.287206255265,-0.299726192168793,31.3546946798437,-0.71211024935164,0.476396507960057
2.32757435783673,-0.118885179682192,12.3442032476194,0.696316209779443,0.486230823924182
0.100987481360146,-0.0185328556073598,1.97645688034543,0.085015504611116,0.932249064438249
-0.178299542310702,-0.103331520737943,10.8392265871024,-0.0227707273036083,0.98183315819591
3.30700618850052,-0.0526383835839097,5.33776470305427,1.45416477945048,0.145900627189367
1.83337032573455,-0.0174091164750034,1.78682404399537,1.38456635155607,0.166185106291874
2.72127517739569,-0.0274745421957981,2.81801733850757,1.63743235501525,0.101540162356676
1.09110720907235,-0.00401996585837746,0.412967005231092,1.7041463107902,0.088353756583288
4.46712587774285,-0.0362208001381695,3.67673044207736,2.34857528204059,0.0188453891742299
7.55407428266704,-0.125758981075051,11.9581830518207,2.22084982648221,0.0263611344855467
5.82916311406562,-0.0932930384517113,8.8842246314408,1.98697356231167,0.0469253266658763
6.49417498961542,-0.123240260113713,11.5981908617165,1.9430915461613,0.0520050982769518
5.06217956473038,-0.0617425183822148,5.95000331590494,2.10060266991469,0.0356758594828034
-10.8078349798885,-0.225179336162095,21.7455475119643,-2.26939185136989,0.0232445072829709
2.1209798933955,-0.00671678327361847,0.696692470617553,2.54911340466035,0.0107997175333758
1.2154424512828,-0.00292956194595175,0.300972803071484,2.22083497273063,0.0263621408966406
4.67948992353194,-0.0515846917346546,5.28243462480405,2.0584614210817,0.039545860937323
3.2271766159673,-0.177276980828143,18.0010764440148,0.802413415392855,0.422313855412562
8.92688126684531,-0.204606939164426,21.4507980153841,1.97160465915217,0.0486547549144459
2.99370884012803,-0.0238149907378223,2.56217505224131,1.88515172379958,0.0594093564627059
3.42112162562098,-0.0444502456255387,4.68580089473633,1.60096926480574,0.109383726755662
7.23149438270917,-0.206327074295818,21.7919303728344,1.59330125311808,0.111092625712909
-1.15131024457207,-0.0102231044220975,0.977230052202558,-1.15430454033975,0.248375335723072
5.91512873210394,-0.276510879674403,27.3976561257236,1.18290254128921,0.23684777438035
-9.61415293911119,-0.383905167416769,36.4269402210776,-1.52933283369749,0.126181953954618
0.604753029730132,-0.0024752846455903,0.25933891742104,1.19238956637844,0.233108529463352
4.66195647956189,-0.30522570146385,29.9162889975407,0.908147159519749,0.363800477217784
-1.06048352590469,-0.00875153468358097,0.889886520251271,-1.11490476144802,0.264891236089364
5.38832522804466,-0.0932267522543573,9.96016801144836,1.73688156087784,0.0824080787495186
8.64936183339218,-0.0927781579626956,9.20270607947204,2.88177441292965,0.00395442733859995
15.1814488688748,-0.323440770645044,31.6689808822481,2.7551905198243,0.00586579679638775
3.51274774955268,-0.036635469574571,3.42384553741915,1.91820849424293,0.0550845796047647
5.71347830231124,-0.131346588900211,12.0965207095532,1.68051064476747,0.0928580049727586
11.831221059034,-0.628615869103734,57.8523932026934,1.63814256014623,0.101391958512774
5.3650151766326,-0.0564560164982897,5.44192731004307,2.32402495047535,0.0201241568320525
6.03351598374357,-0.061771447217925,6.01455644752909,2.48537764415512,0.0129414066508495
4.53610148027956,-0.066253846416782,6.25070829152195,1.84083782564757,0.0656453278750285
-5.07892728576783,-0.0518558381712042,4.94753251032844,-2.26006395738669,0.0238172816813853
7.79975778570037,-0.349917509347435,31.6090631023703,1.44955431773518,0.147182842843538
1.61341470994765,-0.0110392148547462,1.01037893385488,1.61608893362398,0.106075086511967
9.68442044971884,-0.458301730216064,41.6529259454438,1.57156291778667,0.116051952068164
6.99451629864505,-0.296940099355144,26.5915800400038,1.41397656445256,0.157368783600788
5.7172398303524,-0.183818594465738,16.5310576248215,1.45137485476078,0.146675507685007
-0.975778290258358,-0.0303666197188046,2.65425777977626,-0.58029577639056,0.561715175174241
-3.47210042121402,-0.115382426306863,9.82512781378759,-1.07089219273811,0.284217906714281
2.2742012385425,-0.0533611979148039,4.60664037718788,1.08444913018194,0.278165710234918
-1.5277586964656,-0.0703236205683935,6.06766857915089,-0.591668286686518,0.554072736854817
-2.680990441428,-0.235034488491043,20.1712717498279,-0.544605460887298,0.586024898117164
-0.661348290755732,-0.00180442263696972,0.161540332297406,-1.64097967149803,0.100801635083946
5.99355883561358,-0.195304028835593,17.363689659538,1.48521679610401,0.137486404118373
-0.0817680024302818,-4.42559350723822e-05,0.00387219618946057,-1.31331707676961,0.189076126600711
-0.213862379910215,-0.100396215942981,9.15730432007339,-0.0374957935267176,0.970089694069477
1.57866418943195,-0.0795147579046995,7.33826921668039,0.612117191076628,0.54046022434051
-2.44370476800323,-0.146283236997514,12.8826617018522,-0.640085347524803,0.522117114381874
-2.81160491686154,-0.246093299407383,21.3554635943291,-0.555161683095772,0.578784074887362
-0.0935171382004011,-0.0274479285288928,2.48282367679714,-0.0419301264979723,0.966554400037943
-1.90989691980757,-0.0119690145661075,1.1197410598799,-1.79358064808666,0.0728801276157827
0.827756273133522,-0.00596514500558522,0.55819879899852,1.11590316590181,0.264463586512346
4.28050652399025,-0.0546164002383688,5.21026056879531,1.89920434408517,0.0575376138076838
4.05563592041807,-0.139870381029855,14.1058911760665,1.11707958034861,0.263960300482865
4.34008071643444,-0.171896174700878,16.9751241329021,1.09511666336968,0.273465529307824
5.58283200530246,-0.382592106799301,37.6680883846817,0.971973747233267,0.331063609168494
-6.91817296561736,-0.173229617922258,18.2140158015563,-1.58043067991718,0.114008270192695
-6.22960467777186,-0.137151516471116,14.5880371953381,-1.59512149735761,0.110685069090261
-6.59192346014447,-0.150031090546443,15.9371262279084,-1.61364671498739,0.106604077917115
5.79432765662846,-0.700254650453352,55.8860071184189,0.868759735066616,0.384978560815313
-0.574110863704754,-0.0101902470857814,0.860234189876755,-0.608008460650974,0.54318186249558
-1.42265752987534,-0.0541302055080482,4.50868167175296,-0.644508554692525,0.519245712077363
6.45618189817843,-1.17952108005456,89.6080177845726,0.806632267871718,0.419878377388545
4.89920065716997,-0.471717034648702,37.4303774684079,0.877882503666288,0.380007485051259
-4.03631006358119,-0.313066393025866,26.8000248400116,-0.719206926963174,0.472013432013781
-1.13225256088077,-0.210955211435062,18.5364596492626,-0.213986525246564,0.830557565106921
-4.28747114485352,-0.341740022616694,28.8935040641536,-0.734052936397171,0.462916475686915
0.761377406265923,-0.0254006553378548,2.11749416474356,0.540681027584457,0.588727457676002
4.66336168517622,-0.370758607161247,29.8657431076991,0.921163935161665,0.356964844281407
-2.79531615893489,-0.0912662835456865,7.50152321046309,-0.98727915840669,0.323505804974742
4.03160506949383,-0.373443699712633,29.7121865355797,0.808134066207836,0.419013408633305
21.2540380924935,-2.45322007571087,175.990831186959,1.78704837085792,0.0739296709633969
4.42253085144411,-0.0162285927742297,1.3697248925168,3.79266894090596,0.000149036790552099
1.68520776295632,-0.00371031434555885,0.290635146897585,3.13281332765648,0.00173139519341332
0.664102124972029,-0.00042697389143386,0.034317166402936,3.58722231541416,0.00033421935539503
-2.45829414241007,-0.0615029209013311,4.8104872317961,-1.0927873832836,0.274487162403425
-4.84905772274958,-0.336770160428814,25.8204200260753,-0.888004399660754,0.374538384693066
6.18435467363079,-0.990019056725891,75.5884336156033,0.825194497720444,0.409261176758841
-2.82874474398238,-0.0313788987221152,2.42436767837557,-1.79659433248255,0.0724000448102952
1.07828668336381,-0.00293281339210901,0.226753605153563,2.27057979052289,0.0231724280221338
-5.89418513741916,-0.194925120784931,14.9985018006652,-1.47161610298609,0.141124574609304
0.0350511311518256,-0.000363289854635641,0.0284595462012497,0.209925966071832,0.833725455762503
-5.19332034572861,-0.78855323039323,68.6112466203749,-0.531771792379461,0.594884061584094
-5.11715451818184,-0.26527658965031,21.9583162775008,-1.03540521382273,0.300479711829526
1.2133539968731,-0.282769645313685,25.0608201919501,0.298861413101984,0.765045790117856
0.279507428854842,-0.0339903051264671,2.62595618187164,0.193459770638563,0.846598909236257
-4.06087503759935,-0.224824402927239,17.5110166709955,-0.916702995185799,0.359298296155799
-2.95558394821908,-0.128199163065236,9.88081262458521,-0.899473939072785,0.368400271070434
4.36378988493861,-0.313413924470253,24.0438301561354,0.953859630795918,0.340154700187195
2.11983052424015,-0.0575453567488951,4.55968391727852,1.01968501936005,0.307877868690623
0.952299090690536,-0.0233681854092885,1.80581315507771,0.726047998860529,0.467809345969526
0.898985727718478,-0.137614924559097,10.7425931127767,0.316269210492566,0.751798179085537
1.1105490166111,-0.170011768591581,13.0897329286249,0.353944204358223,0.723380698284207
0.396875715218797,-0.946506009595416,71.4537280888533,0.158923085908265,0.873729471920894
-6.05122429848915,-0.971025312992248,75.0881260081792,-0.586266515963851,0.557696428743217
-10.5429403224353,-0.406360971052881,37.391382859249,-1.65769894439162,0.09737824700503
0.998003773495697,-0.00179112762322791,0.16399369197073,2.46886501720259,0.0135542335982043
-1.66395443675299,-0.00329637699002283,0.291739194607826,-3.07455897389041,0.00210814037850196
0.854565375612637,-0.00119278329397669,0.109212451122783,2.58949437086961,0.0096116994295959
6.98458265366361,-0.20699894545213,19.8096882278736,1.61579251612568,0.106139180166635
10.2079497822563,-0.456060212328197,43.5274835281055,1.61636249019802,0.106015963257183
7.47278049985427,-0.351699950553267,33.0970510728719,1.36006874277385,0.173808171289068
-15.1527869727178,-0.306548484461232,27.7382338450431,-2.81888286799487,0.0048191100199293
32.9973153544473,-1.34087157308141,110.940679489427,3.26010771638518,0.00111369908818196
4.98290737799238,-0.253619228618526,24.9306478876466,1.04876100739668,0.294288127847851
