"dominant_cluster","n","hazard","exposure","vulnerability","HxE","HRI_no_vuln","HRI_full"
"1",20,0.282,0.493,0.128,0.151,0.204,0.231
"2",33,0.477,0.545,0.182,0.283,0.308,0.422
"3",51,0.493,0.57,0.164,0.296,0.321,0.418
