"dominant_cluster","n","hazard","exposure","vulnerability","HxE","HRI_no_vuln","HRI_full"
"1",54,0.473,0.536,0.178,0.277,0.304,0.408
"2",26,0.389,0.578,0.122,0.242,0.281,0.334
"3",20,0.478,0.524,0.172,0.27,0.298,0.395
"4",17,0.399,0.527,0.157,0.229,0.267,0.335
