"location_id","gi_statistic"
1,0.327121226154523
2,0.703080497721349
3,0.187807221895211
4,0.794279114188285
5,0.346146698228773
6,-0.968860788906483
7,0.712110249351642
8,0.696316209779444
9,0.0850155046111166
10,-0.0227707273036087
11,1.45416477945048
12,1.38456635155608
13,1.63743235501526
14,1.7041463107902
15,2.34857528204059
16,2.22084982648221
17,1.98697356231167
18,1.9430915461613
19,2.10060266991469
20,2.2693918513699
21,2.54911340466036
22,2.22083497273063
23,2.0584614210817
24,0.802413415392857
25,-1.97160465915217
26,-1.88515172379958
27,-1.60096926480575
28,-1.59330125311808
29,-1.15430454033975
30,-1.18290254128921
31,-1.52933283369749
32,-1.19238956637844
33,-0.908147159519748
34,-1.11490476144801
35,-1.73688156087784
36,-2.88177441292965
37,-2.7551905198243
38,-1.91820849424293
39,-1.68051064476747
40,-1.63814256014623
41,-2.32402495047535
42,-2.48537764415512
43,-1.84083782564757
44,-2.26006395738668
45,-1.44955431773517
46,-1.61608893362398
47,-1.57156291778667
48,-1.41397656445256
49,-1.45137485476078
50,-0.580295776390562
51,-1.0708921927381
52,-1.08444913018194
53,-0.591668286686517
54,-0.544605460887299
55,-1.64097967149803
56,-1.48521679610401
57,-1.31331707676962
58,-0.0374957935267162
59,0.612117191076632
60,-0.640085347524802
61,-0.555161683095774
62,0.0419301264979727
63,1.79358064808666
64,1.11590316590181
65,1.89920434408517
66,1.11707958034861
67,1.09511666336969
68,0.971973747233267
69,1.58043067991718
70,1.59512149735761
71,1.61364671498739
72,0.868759735066617
73,0.608008460650976
74,0.644508554692528
75,0.806632267871714
76,0.877882503666289
77,0.719206926963173
78,0.213986525246565
79,0.734052936397174
80,0.540681027584458
81,0.921163935161668
82,0.987279158406689
83,0.808134066207837
84,1.78704837085792
85,3.79266894090596
86,3.13281332765648
87,3.58722231541416
88,1.0927873832836
89,0.888004399660753
90,0.825194497720441
91,1.79659433248255
92,2.27057979052289
93,1.47161610298609
94,0.209925966071834
95,0.531771792379462
96,1.03540521382273
97,-0.298861413101984
98,0.193459770638562
99,0.916702995185798
100,0.899473939072787
101,0.953859630795921
102,1.01968501936005
103,0.726047998860531
104,0.316269210492565
105,0.353944204358226
106,0.158923085908268
107,0.586266515963852
108,1.65769894439162
109,2.46886501720259
110,3.07455897389041
111,2.58949437086961
112,1.61579251612568
113,1.61636249019802
114,1.36006874277385
115,2.81888286799487
116,3.26010771638518
117,1.04876100739668
