"Class","Precision","Recall","F1"
"1",1,0.986111111111111,0.993006993006993
"2",0.967661691542289,0.987309644670051,0.977386934673367
"3",1,0.996323529411765,0.998158379373849
"4",0.991039426523297,0.982238010657194,0.986619090098127
