"location_id","gi_statistic"
1,2.60077130936294
2,2.82328490561494
3,2.39332849313642
4,2.76682921259137
5,1.99846587819848
6,3.44961309577351
7,3.71981036099193
8,3.93187817201075
9,3.02803199338173
10,2.6565827286836
11,1.19280495894914
12,0.486119075755354
13,3.90752396875536
14,2.54226747084496
15,2.63214983297887
16,2.90471383771701
17,2.68501358308687
18,3.01182069065193
19,3.94703766618654
20,3.42110580566971
21,3.48362239347582
22,4.01196312726205
23,2.40911561418104
24,2.37815209246896
25,2.01197756761223
26,1.98698551401407
27,2.48841827708652
28,2.38029094685242
29,1.90221606728736
30,2.48259956179217
31,2.36588095736867
32,4.93387229299096
33,5.01365514281146
34,4.35060450398264
35,3.83019242059477
36,3.73953334170992
37,4.725868863642
38,3.88874477904519
39,4.05494883098245
40,3.89366244392895
41,-0.569313227346504
42,-0.554175722867632
43,-0.706444128528403
44,-0.295326128689942
45,-0.822322761024435
46,-0.0922027883328596
47,-0.649459839365733
48,-0.771119484012494
49,-0.502003336195011
50,-0.5348826044234
51,-0.373513661069045
52,-0.702515659209778
53,-0.789802773358359
54,-1.07437002355802
55,-3.54348751369803
56,-3.48016971650494
57,-3.01144509237387
58,-2.81586464808487
59,-2.78491023530377
60,-2.88356700169187
61,-3.19620832155298
62,-3.4008497830277
63,-2.95936520853557
64,-3.2658819328656
65,-2.83681530837233
66,-2.73821977254869
67,-2.42947580425349
68,-2.75823640921225
69,-3.08266146868457
70,-2.81788228026152
71,-3.04949152792374
72,-2.87455801737105
73,-2.6610412277573
74,-2.47453683522264
75,-1.68344156286963
76,-2.04476626865817
77,-2.01405397682368
78,-1.6040568545163
79,-1.82018084457241
80,-2.78747198196827
81,-2.87386638092702
82,-2.28361419576122
83,-0.417084007161853
84,-0.828861726248043
85,-0.0121441869593412
86,-0.345572198052903
87,-1.3760574457102
88,-1.57423723205808
89,-0.978839363408
90,1.06489185842898
91,1.04413822359968
92,0.227498819762283
93,1.49268513158317
94,1.40727804869265
95,-0.816090069343527
96,-1.21192226518442
97,-0.720247097474875
98,-0.847754567447587
99,-0.348048060883919
100,-0.499142876146838
101,-0.645928780663014
102,-0.833389855549677
103,-0.896750418297766
104,-0.905132974595904
105,-0.622348839220963
106,-0.357780987753422
107,-0.650255986210442
108,-0.575503008186289
109,-1.02860992940524
110,-0.788721389259739
111,-0.856269041967937
112,-0.610143366187975
113,-0.88931615223045
114,-0.757091915166839
115,-0.856422642285217
116,-0.853146176788803
117,-0.921081463621097
118,-0.65461490762723
119,-0.525198433075695
120,-0.600337539612183
121,-0.480223988724474
122,-0.752996337868317
123,-0.393127676047811
124,-0.737449651055348
125,-0.693975864751999
126,-0.794710857142635
127,-0.527436855424482
128,-0.602179707133102
129,-1.40218357821897
130,-1.02312481041701
