"location_id","gi_statistic"
1,1.91613288558796
2,2.12244293045445
3,1.74340320817088
4,3.13464508662304
5,3.65709766075993
6,2.71365536759237
7,2.35735751973044
8,1.13012360758221
9,-0.0300230624412516
10,3.62966948845946
11,2.25686262360572
12,2.32919963759383
13,2.41198248539966
14,2.18438854435214
15,2.30958559973264
16,2.84896624255385
17,2.71683816944907
18,2.78040359574709
19,2.91215867500362
20,1.90967017632057
21,1.8579920585429
22,1.51406144636397
23,1.4778679341826
24,1.9761278843809
25,1.87273885251861
26,1.40953661396258
27,1.98057062103005
28,1.85542164926338
29,3.84531768347772
30,3.9334550866433
31,3.26119061841058
32,2.74424173767667
33,2.64648782704341
34,3.63748176839132
35,3.71731294797186
36,3.56116565174934
37,-2.90220556118396
38,-2.10945090299108
39,-1.70251300934979
40,-1.89904016726347
41,-1.81413106013562
42,-3.65232144917538
43,-1.07879378924201
44,-1.04878550830673
45,-0.433354738410516
46,-1.43030926741679
47,-1.31744055810519
48,-1.83073606068206
49,-1.31409237207203
50,-1.69597923520688
51,-0.700870016690547
52,0.295521718504388
53,-2.15203524981668
54,-3.78085141544934
55,-3.72023535228035
56,-3.31815403363869
57,-3.13784809941735
58,-3.09305222411921
59,-3.19615799045196
60,-3.47151696870929
61,-3.65988296512987
62,-3.25928437610533
63,-3.54600526514229
64,-3.13543075095727
65,-3.11625944941296
66,-2.83664290884081
67,-3.10924393707795
68,-3.41210838741221
69,-3.16068299997962
70,-3.37395069795616
71,-3.23851767186455
72,-3.02247366508833
73,-2.84640776897913
74,-2.13982458321398
75,-2.49793481968623
76,-2.45871392938768
77,-2.08057098359839
78,-2.28127878156365
79,-3.17011157507391
80,-3.24488814262119
81,-2.70952054115997
82,-0.887348381786336
83,-1.28925972674648
84,-0.474466973441833
85,-0.814044239896013
86,-1.84287434587279
87,-2.05247754618448
88,-1.44201875036709
89,0.574447193337103
90,0.560578321420605
91,-0.244040553511767
92,1.00323761025976
93,0.923227295798721
94,0.331075855930799
95,0.128740150041408
96,0.116964710309567
97,1.00372064974913
98,0.868694100131863
99,0.803657585471941
100,1.77997808713736
101,0.893971626425118
102,0.4571403386518
103,1.04005379911437
104,0.801605325569754
105,1.44277207700156
106,1.15704557528324
107,2.56344424094524
108,2.17938369794922
109,2.6180445425047
110,0.773438481047182
111,1.34926646646247
112,0.590214026059841
113,0.61709744955502
114,1.10051405988258
115,1.49117673413199
116,0.62721377058866
117,0.942704305106839
118,0.949403949570498
119,0.847195220532013
120,0.854013834469457
121,0.73601807567625
122,0.57235132800557
123,0.457467154560489
124,1.67857437820951
125,2.15142986781193
126,1.88884811520294
127,0.0624322943931236
128,-0.0847944588713096
129,-0.126858990603737
130,2.43631713428928
131,2.01444411398515
132,0.130102214184561
