"dominant_cluster","mean_stdHRI","sd_stdHRI","mean_rawHRI","mean_cv","mean_se","n_h3_cells"
"1",0.439452949469545,0.132329936679381,0.242284371611265,1.84947729158052,0.00431992212038036,5
"2",0.385427706215775,0.181521326157844,0.223056998631163,4.90106364198328,0.0101700459484779,69
"3",0.364705607720518,0.212100460904718,0.215682084744571,3.78167834376196,0.00736344997240578,24
"4",0.277367687796025,0.155329418172546,0.184598860300648,3.4164762913872,0.00619585735907978,34
