"hri_category","n_cells","mean_hri","sd_hri","mean_uncertainty"
"Very Low",33,0.0796311969808103,0.0561787435073406,5.5397775688709
"Low",32,0.233778708858575,0.039126592818184,6.49360593586464
"Medium",32,0.35108444571474,0.0388100310469032,4.11712711191992
"High",32,0.460859454794311,0.035157869558329,3.30513775312487
"Very High",32,0.630480412389273,0.102595577545454,2.82673904379678
