"location_id","gi_statistic"
1,3.59353888709497
2,3.52052741155928
3,4.09191731843822
4,4.36722020082099
5,4.1319986200808
6,4.33218954168339
7,3.70146548160246
8,3.71672118880534
9,2.28081481534373
10,2.5480304635217
11,2.13487381492556
12,3.02103883182714
13,2.83365610889505
14,3.21853992599121
15,1.95566076877009
16,1.73464534763208
17,1.65626129778605
18,2.1651948197468
19,2.4324774905499
20,2.22629280519012
21,3.96330798310702
22,3.14107298093042
23,2.83642601984873
24,3.49934017332691
25,4.43686134049836
26,4.27960175487331
27,-1.76881468192657
28,-0.908440095108591
29,-0.803148632500752
30,-0.67855781565916
31,-2.05842763749697
32,-3.58482215662049
33,-3.50314904395557
34,-3.59759256211748
35,-3.37243044014173
36,-3.45484831609013
37,-3.66357185978146
38,-3.88602840692837
39,-3.42851284822997
40,-2.92174885909503
41,-3.2872805491194
42,-3.22964957773
43,-3.29138486010574
44,-2.80536072542968
45,-1.73473925643772
46,-2.57198120883761
47,-1.55671825229222
48,-3.31081088521909
49,-2.81449314465894
50,-0.780982474296934
51,0.115195531386246
52,0.0811535275503927
53,-1.40751325028517
54,-1.49639247087198
55,-1.14189022074611
56,1.2830067395672
57,1.26743602302115
58,0.508638458675926
59,1.46408016004705
60,-1.30833969315371
61,-0.751342691663679
62,-0.485759250511446
63,-0.613677867720526
64,-0.407573611641733
65,-1.7377467643115
66,-0.596348356102573
67,-0.25784174026719
68,-1.33060300563926
69,-1.68742894505106
70,-1.95825662093023
