"dominant_cluster","n","hazard","exposure","vulnerability","HxE","HRI_no_vuln","HRI_full"
"1",10,0.43,0.629,0.139,0.274,0.311,0.37
"2",15,0.538,0.559,0.156,0.315,0.336,0.405
"3",22,0.506,0.614,0.152,0.321,0.344,0.416
"4",9,0.273,0.484,0.16,0.134,0.193,0.222
"5",14,0.478,0.69,0.146,0.334,0.359,0.44
