"Class","Precision","Recall","F1"
"1",0.956521739130435,0.98019801980198,0.968215158924205
"2",0.970588235294118,0.955263157894737,0.962864721485411
"3",0.969047619047619,0.971360381861575,0.970202622169249
"4",0.980769230769231,0.980769230769231,0.980769230769231
