"scenario","config","alpha","beta","full_F","full_p","full_eta2","nv_F","nv_p","nv_eta2"
"Amenity_Ser","multiplicative",1,0,3.858,0.00712146225885828,0.192,4.404,0.00326999936728019,0.213
"Amenity_Ser","additive",0,1,4.944,0.00152881220850166,0.233,5.035,0.00134578230212881,0.237
"Amenity_Ser","default",0.5,0.5,4.724,0.00208054948528324,0.225,4.654,0.00229491075563466,0.223
"Market_Ser","multiplicative",1,0,3.775,0.0123113265152487,0.081,3.425,0.0192397057542078,0.074
"Market_Ser","additive",0,1,2.992,0.0334260117832603,0.066,2.706,0.0481217758667515,0.06
"Market_Ser","default",0.5,0.5,3.159,0.0270231098808581,0.069,3.151,0.0272837334226008,0.069
"Structural_Ser","multiplicative",1,0,10.815,2.26038372670679e-06,0.205,13.807,7.67221768436174e-08,0.247
"Structural_Ser","additive",0,1,11.98,5.93352312207533e-07,0.222,12.076,5.3228301449619e-07,0.223
"Structural_Ser","default",0.5,0.5,11.951,6.13334010347732e-07,0.222,13.267,1.39541863831349e-07,0.24
