"scenario","component","F_value","p_value","eta_sq"
"Amenity_Ser","Hazard",3.949,0.00624962468615736,0.196
"Amenity_Ser","Exposure",7.317,6.2769358165098e-05,0.31
"Amenity_Ser","Vulnerability",1.296,0.28101310320256,0.074
"Amenity_Ser","HxE_product",4.404,0.00326999936728019,0.213
"Amenity_Ser","HRI_no_vuln",4.654,0.00229491075563466,0.223
"Amenity_Ser","Full_HRI_std",4.724,0.00208054948528323,0.225
