"dominant_cluster","n","hazard","exposure","vulnerability","HxE","HRI_no_vuln","HRI_full"
"1",7,0.409,0.677,0.132,0.284,0.322,0.382
"2",50,0.579,0.588,0.153,0.348,0.364,0.44
"3",25,0.285,0.501,0.147,0.157,0.209,0.229
"4",48,0.374,0.508,0.167,0.212,0.251,0.297
