"Class","Precision","Recall","F1"
"1",0.736842105263158,0.777777777777778,0.756756756756757
"2",0.676470588235294,0.766666666666667,0.71875
"3",0.666666666666667,0.444444444444444,0.533333333333333
"4",0.6,0.625,0.612244897959184
"5",0.790697674418605,0.85,0.819277108433735
